State,Agency Type,Agency Name,Population1,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/ Abduction,Sex Offenses,Rape,Sodomy,Fondling,"Sex Offenses, Nonforcible",Statutory Rape,Arson,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism,Embezzle- ment,Fraud Offenses,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imperson- ation,Wire Fraud,Larceny- Theft Offenses,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Porno- graphy/ Obscene Material,Weapon Law Violations,Total Offenses
ALABAMA,Cities,Hoover,82332.0,870.0,25.0,594.0,251.0,2.0,25.0,13.0,3.0,9.0,2.0,2.0,1.0,391.0,55.0,280.0,70.0,202.0,38.0,109.0,55.0,2.0,1718.0,2.0,550.0,410.0,4.0,418.0,127.0,197.0,88.0,46.0,29.0,495.0,339.0,156.0,4.0,26.0,7616.0
ARIZONA,Cities,Apache Junction,36986.0,559.0,96.0,381.0,82.0,14.0,35.0,13.0,2.0,22.0,2.0,2.0,1.0,237.0,58.0,447.0,2.0,162.0,52.0,62.0,48.0,2.0,725.0,2.0,193.0,12.0,1.0,52.0,52.0,415.0,68.0,21.0,28.0,308.0,152.0,156.0,1.0,25.0,4485.0
ARIZONA,Cities,Gilbert,214264.0,1242.0,123.0,892.0,227.0,54.0,79.0,19.0,2.0,58.0,16.0,16.0,25.0,728.0,163.0,2303.0,20.0,486.0,130.0,150.0,206.0,2.0,2549.0,9.0,632.0,96.0,3.0,720.0,35.0,1053.0,171.0,59.0,100.0,2069.0,979.0,1090.0,16.0,75.0,16612.0
ARIZONA,Metropolitan Counties,Yuma2,5227.0,555.0,94.0,376.0,85.0,17.0,39.0,8.0,2.0,29.0,24.0,24.0,10.0,363.0,26.0,542.0,2.0,192.0,83.0,48.0,61.0,2.0,644.0,2.0,34.0,13.0,1.0,8.0,4.0,596.0,75.0,10.0,24.0,437.0,208.0,229.0,5.0,40.0,4954.0
ARKANSAS,Cities,Alma,5439.0,197.0,11.0,108.0,78.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,99.0,15.0,97.0,2.0,13.0,1.0,10.0,2.0,2.0,265.0,2.0,59.0,39.0,1.0,39.0,4.0,126.0,7.0,1.0,9.0,66.0,44.0,22.0,1.0,4.0,1325.0
ARKANSAS,Cities,Arkadelphia,10698.0,274.0,35.0,178.0,61.0,4.0,7.0,5.0,2.0,4.0,2.0,2.0,1.0,106.0,19.0,97.0,2.0,34.0,16.0,15.0,3.0,2.0,340.0,1.0,68.0,50.0,1.0,34.0,3.0,184.0,7.0,3.0,2.0,44.0,37.0,7.0,2.0,8.0,1655.0
ARKANSAS,Cities,Ashdown,4680.0,72.0,14.0,57.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,32.0,3.0,52.0,2.0,2.0,1.0,6.0,1.0,2.0,126.0,2.0,28.0,7.0,1.0,5.0,2.0,84.0,4.0,1.0,3.0,32.0,26.0,6.0,2.0,2.0,571.0
ARKANSAS,Cities,Atkins,3057.0,22.0,1.0,13.0,8.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,30.0,6.0,14.0,2.0,3.0,6.0,1.0,2.0,2.0,59.0,1.0,4.0,10.0,1.0,4.0,4.0,39.0,4.0,3.0,2.0,3.0,3.0,12.0,2.0,4.0,230.0
ARKANSAS,Cities,Austin,2076.0,14.0,2.0,10.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,20.0,5.0,10.0,2.0,1.0,6.0,1.0,4.0,2.0,29.0,2.0,1.0,2.0,1.0,16.0,4.0,10.0,6.0,3.0,3.0,44.0,25.0,19.0,2.0,2.0,210.0
ARKANSAS,Cities,Bald Knob,2950.0,71.0,12.0,29.0,30.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,36.0,15.0,36.0,2.0,3.0,6.0,3.0,4.0,2.0,105.0,1.0,5.0,17.0,3.0,14.0,1.0,64.0,10.0,1.0,15.0,25.0,20.0,5.0,2.0,4.0,523.0
ARKANSAS,Cities,Barling,4718.0,56.0,14.0,28.0,14.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,12.0,3.0,9.0,2.0,12.0,6.0,9.0,3.0,2.0,58.0,2.0,10.0,15.0,1.0,10.0,1.0,32.0,1.0,3.0,8.0,259.0,140.0,119.0,1.0,13.0,841.0
ARKANSAS,Cities,Bay,1845.0,15.0,2.0,8.0,5.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,1.0,12.0,5.0,12.0,2.0,1.0,6.0,1.0,4.0,2.0,25.0,2.0,10.0,2.0,1.0,1.0,4.0,22.0,6.0,3.0,3.0,20.0,14.0,6.0,2.0,2.0,152.0
ARKANSAS,Cities,Bearden,961.0,12.0,2.0,6.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,13.0,1.0,9.0,2.0,1.0,6.0,1.0,4.0,2.0,20.0,2.0,1.0,13.0,1.0,14.0,1.0,18.0,1.0,1.0,3.0,2.0,2.0,12.0,2.0,4.0,97.0
ARKANSAS,Cities,Beebe,7449.0,242.0,32.0,109.0,101.0,2.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,64.0,13.0,82.0,2.0,29.0,4.0,19.0,4.0,6.0,199.0,1.0,19.0,22.0,1.0,16.0,1.0,139.0,13.0,3.0,19.0,70.0,44.0,26.0,2.0,10.0,1292.0
ARKANSAS,Cities,Bella Vista,27310.0,93.0,23.0,36.0,34.0,3.0,7.0,1.0,2.0,4.0,2.0,2.0,2.0,90.0,18.0,81.0,2.0,18.0,5.0,11.0,2.0,2.0,171.0,2.0,1.0,59.0,1.0,34.0,2.0,74.0,3.0,3.0,9.0,176.0,109.0,67.0,2.0,9.0,1145.0
ARKANSAS,Cities,Benton,31486.0,597.0,80.0,322.0,195.0,3.0,17.0,13.0,1.0,3.0,3.0,3.0,6.0,228.0,136.0,328.0,2.0,108.0,8.0,94.0,5.0,1.0,1070.0,3.0,126.0,59.0,1.0,234.0,107.0,537.0,90.0,23.0,24.0,258.0,166.0,92.0,2.0,20.0,4966.0
ARKANSAS,Cities,Bentonville,36433.0,309.0,61.0,89.0,159.0,10.0,40.0,15.0,6.0,19.0,1.0,2.0,5.0,154.0,37.0,203.0,2.0,78.0,11.0,41.0,26.0,2.0,630.0,1.0,36.0,13.0,1.0,158.0,10.0,423.0,26.0,5.0,35.0,594.0,328.0,266.0,4.0,24.0,3827.0
ARKANSAS,Cities,Berryville,5389.0,86.0,13.0,55.0,18.0,2.0,15.0,8.0,6.0,1.0,2.0,2.0,2.0,68.0,16.0,18.0,2.0,11.0,1.0,7.0,3.0,2.0,191.0,2.0,27.0,1.0,1.0,1.0,4.0,161.0,19.0,3.0,3.0,24.0,18.0,6.0,2.0,2.0,777.0
ARKANSAS,Cities,Blytheville,15506.0,741.0,140.0,394.0,207.0,3.0,19.0,9.0,1.0,7.0,2.0,2.0,2.0,475.0,61.0,426.0,2.0,76.0,36.0,34.0,6.0,2.0,643.0,3.0,117.0,6.0,3.0,90.0,17.0,405.0,51.0,39.0,1.0,73.0,69.0,4.0,2.0,33.0,4211.0
ARKANSAS,Cities,Booneville,3993.0,71.0,10.0,46.0,15.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,30.0,11.0,31.0,2.0,7.0,1.0,5.0,1.0,2.0,90.0,2.0,13.0,12.0,1.0,5.0,1.0,59.0,3.0,1.0,6.0,36.0,22.0,14.0,2.0,4.0,503.0
ARKANSAS,Cities,Bradford,774.0,29.0,2.0,14.0,13.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,8.0,2.0,6.0,6.0,3.0,3.0,2.0,16.0,2.0,1.0,13.0,1.0,14.0,1.0,13.0,1.0,3.0,3.0,6.0,2.0,4.0,2.0,1.0,129.0
ARKANSAS,Cities,Brinkley,3171.0,32.0,18.0,14.0,11.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,44.0,5.0,23.0,2.0,13.0,6.0,6.0,4.0,2.0,76.0,2.0,2.0,13.0,1.0,14.0,4.0,70.0,3.0,5.0,1.0,34.0,25.0,12.0,2.0,4.0,298.0
ARKANSAS,Cities,Bryant,17129.0,170.0,8.0,106.0,64.0,3.0,6.0,5.0,2.0,1.0,2.0,2.0,2.0,179.0,61.0,134.0,2.0,107.0,42.0,65.0,4.0,2.0,755.0,2.0,278.0,13.0,1.0,13.0,4.0,464.0,34.0,11.0,23.0,115.0,81.0,34.0,2.0,8.0,2759.0
ARKANSAS,Cities,Bull Shoals,1947.0,16.0,4.0,11.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,13.0,6.0,6.0,4.0,2.0,31.0,1.0,10.0,5.0,1.0,1.0,4.0,14.0,6.0,3.0,1.0,17.0,9.0,8.0,2.0,1.0,148.0
ARKANSAS,Cities,Cabot,24212.0,420.0,50.0,220.0,150.0,1.0,18.0,5.0,2.0,13.0,2.0,2.0,1.0,483.0,63.0,269.0,2.0,84.0,4.0,56.0,24.0,2.0,825.0,4.0,125.0,144.0,1.0,256.0,13.0,276.0,48.0,6.0,44.0,136.0,83.0,53.0,3.0,13.0,3897.0
ARKANSAS,Cities,Caddo Valley,632.0,19.0,5.0,11.0,3.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,15.0,1.0,7.0,2.0,1.0,6.0,1.0,4.0,2.0,40.0,2.0,2.0,5.0,1.0,1.0,4.0,32.0,6.0,1.0,2.0,26.0,24.0,2.0,2.0,4.0,202.0
ARKANSAS,Cities,Camden,12118.0,334.0,60.0,171.0,103.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,178.0,68.0,160.0,2.0,14.0,7.0,7.0,4.0,2.0,405.0,2.0,84.0,17.0,1.0,59.0,14.0,222.0,7.0,9.0,1.0,29.0,27.0,2.0,2.0,6.0,2008.0
ARKANSAS,Cities,Cammack Village,779.0,21.0,8.0,11.0,10.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,24.0,2.0,4.0,2.0,1.0,6.0,6.0,1.0,2.0,26.0,2.0,10.0,5.0,1.0,15.0,1.0,5.0,6.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,136.0
ARKANSAS,Cities,Carlisle,2254.0,22.0,3.0,16.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,24.0,7.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,46.0,2.0,1.0,7.0,1.0,8.0,4.0,29.0,1.0,2.0,9.0,6.0,4.0,2.0,2.0,2.0,204.0
ARKANSAS,Cities,Cave City,1923.0,16.0,4.0,8.0,4.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,9.0,5.0,4.0,2.0,5.0,6.0,4.0,1.0,2.0,29.0,2.0,10.0,12.0,1.0,5.0,4.0,12.0,6.0,3.0,1.0,2.0,2.0,12.0,2.0,4.0,123.0
ARKANSAS,Cities,Cave Springs,1785.0,4.0,1.0,3.0,11.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,13.0,1.0,4.0,2.0,13.0,6.0,6.0,4.0,2.0,15.0,2.0,1.0,4.0,1.0,14.0,4.0,10.0,6.0,3.0,3.0,34.0,25.0,12.0,2.0,4.0,60.0
ARKANSAS,Cities,Charleston,2492.0,24.0,2.0,14.0,8.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,9.0,1.0,6.0,2.0,5.0,6.0,5.0,4.0,2.0,22.0,2.0,10.0,2.0,1.0,14.0,4.0,20.0,6.0,1.0,3.0,2.0,2.0,12.0,2.0,1.0,126.0
ARKANSAS,Cities,Cherokee Village,4735.0,30.0,3.0,27.0,11.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,46.0,5.0,51.0,2.0,15.0,11.0,3.0,1.0,2.0,99.0,2.0,1.0,13.0,1.0,1.0,4.0,97.0,4.0,3.0,3.0,26.0,16.0,10.0,1.0,1.0,451.0
ARKANSAS,Cities,Clarendon,1655.0,22.0,1.0,20.0,1.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,7.0,5.0,15.0,2.0,13.0,6.0,6.0,4.0,2.0,25.0,2.0,3.0,1.0,1.0,3.0,4.0,18.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,131.0
ARKANSAS,Cities,Clarksville,9286.0,215.0,13.0,151.0,51.0,2.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,122.0,46.0,104.0,2.0,70.0,1.0,54.0,15.0,2.0,464.0,4.0,60.0,126.0,4.0,70.0,6.0,192.0,3.0,3.0,13.0,49.0,38.0,11.0,2.0,6.0,1902.0
ARKANSAS,Cities,Clinton,2580.0,9.0,8.0,3.0,6.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,16.0,6.0,2.0,2.0,9.0,6.0,9.0,4.0,2.0,41.0,2.0,3.0,16.0,1.0,8.0,1.0,13.0,3.0,3.0,3.0,2.0,2.0,12.0,2.0,4.0,149.0
ARKANSAS,Cities,Conway,60700.0,1704.0,148.0,764.0,792.0,12.0,36.0,32.0,2.0,3.0,2.0,2.0,9.0,417.0,160.0,793.0,2.0,310.0,124.0,181.0,5.0,2.0,2097.0,2.0,498.0,10.0,4.0,412.0,77.0,1096.0,105.0,79.0,52.0,733.0,569.0,164.0,5.0,50.0,11450.0
ARKANSAS,Cities,Corning,3348.0,26.0,2.0,16.0,8.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,22.0,3.0,16.0,2.0,3.0,6.0,1.0,2.0,2.0,29.0,2.0,7.0,7.0,1.0,1.0,4.0,14.0,2.0,1.0,1.0,41.0,33.0,8.0,2.0,2.0,245.0
ARKANSAS,Cities,Crossett,5487.0,79.0,13.0,61.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,117.0,9.0,112.0,2.0,29.0,14.0,14.0,1.0,2.0,256.0,2.0,48.0,13.0,1.0,1.0,4.0,207.0,5.0,6.0,2.0,28.0,27.0,1.0,2.0,9.0,1054.0
ARKANSAS,Cities,Danville,2405.0,19.0,1.0,14.0,4.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,6.0,3.0,3.0,2.0,1.0,1.0,6.0,4.0,2.0,14.0,2.0,2.0,1.0,1.0,4.0,4.0,7.0,1.0,3.0,1.0,12.0,12.0,12.0,2.0,1.0,109.0
ARKANSAS,Cities,Dardanelle,4738.0,112.0,19.0,64.0,29.0,2.0,7.0,3.0,2.0,4.0,2.0,2.0,2.0,98.0,18.0,38.0,2.0,19.0,9.0,8.0,2.0,2.0,102.0,1.0,1.0,6.0,1.0,9.0,4.0,85.0,3.0,6.0,5.0,9.0,9.0,12.0,1.0,3.0,670.0
ARKANSAS,Cities,Decatur,1752.0,19.0,4.0,6.0,9.0,1.0,5.0,3.0,1.0,4.0,2.0,2.0,1.0,19.0,5.0,9.0,2.0,4.0,6.0,6.0,4.0,2.0,22.0,1.0,10.0,7.0,1.0,3.0,1.0,10.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,139.0
ARKANSAS,Cities,De Queen,6708.0,62.0,16.0,41.0,5.0,4.0,6.0,3.0,2.0,3.0,2.0,2.0,1.0,56.0,16.0,19.0,2.0,12.0,6.0,12.0,4.0,2.0,171.0,4.0,27.0,20.0,2.0,9.0,4.0,108.0,2.0,1.0,7.0,59.0,34.0,25.0,2.0,2.0,728.0
ARKANSAS,Cities,De Witt,3282.0,74.0,14.0,49.0,11.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,32.0,9.0,37.0,2.0,6.0,2.0,4.0,4.0,2.0,89.0,2.0,6.0,19.0,1.0,20.0,1.0,42.0,1.0,2.0,5.0,54.0,38.0,16.0,2.0,10.0,551.0
ARKANSAS,Cities,Diaz,1313.0,22.0,3.0,16.0,3.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,11.0,5.0,5.0,2.0,13.0,6.0,6.0,4.0,2.0,13.0,2.0,10.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,2.0,12.0,2.0,4.0,94.0
ARKANSAS,Cities,Dumas,4635.0,53.0,16.0,32.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,61.0,9.0,1.0,2.0,1.0,6.0,1.0,4.0,2.0,56.0,2.0,10.0,22.0,1.0,12.0,1.0,11.0,9.0,5.0,1.0,12.0,11.0,1.0,2.0,9.0,346.0
ARKANSAS,Cities,Earle,2405.0,57.0,10.0,18.0,29.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,5.0,41.0,1.0,37.0,2.0,3.0,1.0,6.0,2.0,2.0,78.0,2.0,3.0,1.0,1.0,1.0,4.0,73.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,371.0
ARKANSAS,Cities,El Dorado,18860.0,559.0,165.0,241.0,153.0,3.0,10.0,2.0,2.0,1.0,1.0,1.0,7.0,429.0,90.0,327.0,1.0,69.0,36.0,32.0,1.0,2.0,691.0,2.0,78.0,1.0,1.0,19.0,4.0,593.0,35.0,29.0,3.0,83.0,73.0,10.0,2.0,13.0,3764.0
ARKANSAS,Cities,Elkins,2718.0,14.0,2.0,8.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,13.0,6.0,6.0,4.0,2.0,13.0,2.0,3.0,5.0,1.0,14.0,4.0,5.0,1.0,3.0,3.0,12.0,10.0,2.0,2.0,4.0,91.0
ARKANSAS,Cities,Eudora,2261.0,36.0,8.0,7.0,29.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,10.0,2.0,13.0,6.0,6.0,4.0,2.0,20.0,2.0,10.0,2.0,1.0,2.0,4.0,16.0,6.0,1.0,3.0,34.0,25.0,12.0,2.0,4.0,127.0
ARKANSAS,Cities,Eureka Springs,2082.0,49.0,1.0,35.0,13.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,20.0,1.0,27.0,2.0,7.0,6.0,7.0,4.0,2.0,77.0,2.0,5.0,8.0,1.0,5.0,1.0,57.0,2.0,3.0,3.0,23.0,14.0,9.0,2.0,4.0,366.0
ARKANSAS,Cities,Fairfield Bay,2319.0,23.0,5.0,10.0,8.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,1.0,17.0,2.0,2.0,2.0,3.0,6.0,1.0,2.0,2.0,34.0,2.0,10.0,15.0,1.0,4.0,4.0,11.0,6.0,3.0,3.0,3.0,3.0,12.0,2.0,4.0,151.0
ARKANSAS,Cities,Farmington,6133.0,104.0,28.0,46.0,30.0,2.0,9.0,2.0,2.0,5.0,2.0,2.0,2.0,29.0,8.0,29.0,2.0,1.0,6.0,1.0,4.0,2.0,80.0,2.0,10.0,29.0,1.0,28.0,2.0,21.0,1.0,3.0,1.0,26.0,20.0,6.0,1.0,3.0,514.0
ARKANSAS,Cities,Fayetteville,75387.0,1631.0,289.0,1007.0,335.0,32.0,71.0,59.0,2.0,11.0,1.0,1.0,7.0,515.0,156.0,998.0,2.0,303.0,102.0,161.0,40.0,2.0,2455.0,1.0,428.0,816.0,2.0,622.0,95.0,490.0,128.0,40.0,76.0,783.0,476.0,307.0,22.0,40.0,12520.0
ARKANSAS,Cities,Flippin,1354.0,33.0,3.0,17.0,13.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,1.0,18.0,2.0,1.0,6.0,1.0,4.0,2.0,61.0,2.0,14.0,14.0,1.0,9.0,2.0,22.0,6.0,1.0,1.0,113.0,97.0,16.0,6.0,1.0,472.0
ARKANSAS,Cities,Fordyce,4295.0,121.0,26.0,68.0,27.0,1.0,7.0,4.0,1.0,2.0,2.0,2.0,1.0,69.0,11.0,21.0,2.0,6.0,1.0,5.0,4.0,2.0,139.0,2.0,17.0,15.0,1.0,14.0,1.0,92.0,7.0,7.0,2.0,13.0,12.0,1.0,2.0,3.0,698.0
ARKANSAS,Cities,Forrest City,15295.0,677.0,74.0,387.0,216.0,3.0,17.0,6.0,2.0,11.0,2.0,2.0,6.0,355.0,61.0,458.0,2.0,15.0,5.0,6.0,4.0,2.0,839.0,1.0,145.0,279.0,1.0,221.0,11.0,179.0,32.0,38.0,7.0,96.0,91.0,5.0,2.0,11.0,4277.0
ARKANSAS,Cities,Fort Smith,87483.0,2577.0,522.0,999.0,1056.0,31.0,144.0,70.0,10.0,64.0,4.0,2.0,10.0,1077.0,215.0,1309.0,2.0,495.0,272.0,174.0,47.0,2.0,3640.0,2.0,627.0,504.0,13.0,635.0,51.0,1806.0,196.0,95.0,29.0,1299.0,924.0,375.0,10.0,102.0,19478.0
ARKANSAS,Cities,Gassville,2087.0,9.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,13.0,6.0,6.0,4.0,2.0,27.0,2.0,3.0,8.0,1.0,2.0,4.0,14.0,1.0,3.0,1.0,13.0,11.0,2.0,2.0,1.0,114.0
ARKANSAS,Cities,Gentry,3260.0,32.0,4.0,13.0,15.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,8.0,1.0,2.0,2.0,5.0,6.0,1.0,4.0,2.0,25.0,2.0,10.0,3.0,1.0,14.0,2.0,20.0,3.0,3.0,1.0,5.0,4.0,1.0,2.0,4.0,153.0
ARKANSAS,Cities,Glenwood,2228.0,24.0,1.0,15.0,8.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,21.0,6.0,9.0,2.0,7.0,6.0,2.0,5.0,2.0,48.0,2.0,4.0,12.0,1.0,13.0,5.0,13.0,6.0,3.0,11.0,30.0,18.0,12.0,2.0,1.0,270.0
ARKANSAS,Cities,Gravette,2400.0,35.0,6.0,19.0,10.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,6.0,11.0,15.0,2.0,1.0,6.0,1.0,4.0,2.0,42.0,2.0,3.0,5.0,1.0,4.0,4.0,29.0,7.0,3.0,2.0,32.0,20.0,12.0,2.0,1.0,268.0
ARKANSAS,Cities,Green Forest,2779.0,57.0,15.0,26.0,16.0,2.0,9.0,7.0,2.0,2.0,2.0,2.0,2.0,34.0,10.0,36.0,2.0,3.0,6.0,3.0,4.0,2.0,78.0,1.0,11.0,17.0,1.0,12.0,4.0,33.0,2.0,2.0,3.0,33.0,27.0,6.0,2.0,4.0,448.0
ARKANSAS,Cities,Greenland,1292.0,21.0,5.0,13.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,9.0,5.0,8.0,2.0,5.0,5.0,6.0,4.0,2.0,18.0,2.0,10.0,3.0,1.0,2.0,4.0,13.0,2.0,3.0,3.0,16.0,9.0,7.0,2.0,1.0,144.0
ARKANSAS,Cities,Greenwood,9086.0,89.0,19.0,40.0,30.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,38.0,10.0,9.0,2.0,5.0,2.0,6.0,3.0,2.0,59.0,2.0,1.0,6.0,1.0,9.0,3.0,40.0,1.0,3.0,3.0,42.0,29.0,13.0,2.0,5.0,460.0
ARKANSAS,Cities,Greers Ferry,892.0,11.0,1.0,5.0,5.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,8.0,5.0,14.0,2.0,1.0,6.0,1.0,4.0,2.0,25.0,2.0,10.0,11.0,1.0,5.0,2.0,7.0,6.0,3.0,1.0,7.0,4.0,3.0,2.0,1.0,112.0
ARKANSAS,Cities,Gurdon,2205.0,54.0,13.0,27.0,14.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,17.0,10.0,18.0,2.0,1.0,6.0,1.0,4.0,2.0,25.0,2.0,4.0,6.0,1.0,7.0,4.0,8.0,3.0,3.0,1.0,3.0,3.0,12.0,2.0,2.0,219.0
ARKANSAS,Cities,Guy,732.0,6.0,3.0,2.0,1.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,8.0,2.0,1.0,2.0,13.0,6.0,6.0,4.0,2.0,13.0,2.0,10.0,1.0,1.0,14.0,4.0,12.0,2.0,3.0,1.0,5.0,5.0,12.0,2.0,1.0,63.0
ARKANSAS,Cities,Hamburg,2883.0,48.0,14.0,31.0,3.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,1.0,16.0,5.0,12.0,2.0,6.0,6.0,4.0,2.0,2.0,37.0,2.0,4.0,13.0,1.0,14.0,4.0,33.0,6.0,1.0,3.0,7.0,7.0,12.0,2.0,4.0,232.0
ARKANSAS,Cities,Hampton,1273.0,20.0,6.0,12.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,11.0,2.0,1.0,6.0,1.0,4.0,2.0,20.0,2.0,10.0,1.0,1.0,2.0,1.0,16.0,2.0,3.0,1.0,8.0,7.0,1.0,2.0,2.0,128.0
ARKANSAS,Cities,Hardy,780.0,12.0,2.0,10.0,11.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,15.0,5.0,7.0,2.0,2.0,6.0,6.0,2.0,2.0,40.0,2.0,10.0,2.0,1.0,2.0,4.0,34.0,3.0,1.0,2.0,7.0,6.0,1.0,2.0,4.0,156.0
ARKANSAS,Cities,Harrisburg,2292.0,49.0,7.0,33.0,9.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,45.0,11.0,37.0,2.0,1.0,1.0,6.0,4.0,2.0,82.0,2.0,12.0,6.0,1.0,14.0,4.0,50.0,3.0,1.0,5.0,15.0,12.0,3.0,2.0,4.0,401.0
ARKANSAS,Cities,Harrison,13043.0,300.0,47.0,182.0,71.0,5.0,17.0,11.0,1.0,5.0,2.0,2.0,6.0,159.0,49.0,175.0,2.0,89.0,58.0,30.0,1.0,2.0,608.0,5.0,139.0,51.0,1.0,41.0,5.0,367.0,29.0,1.0,29.0,278.0,152.0,126.0,6.0,32.0,3083.0
ARKANSAS,Cities,Heber Springs,7173.0,196.0,12.0,110.0,74.0,2.0,7.0,7.0,2.0,4.0,2.0,2.0,2.0,104.0,31.0,93.0,2.0,16.0,3.0,11.0,2.0,2.0,176.0,2.0,20.0,28.0,1.0,29.0,6.0,92.0,11.0,3.0,41.0,67.0,44.0,23.0,1.0,3.0,1208.0
ARKANSAS,Cities,Helena-West Helena,12152.0,627.0,130.0,354.0,143.0,7.0,11.0,8.0,1.0,1.0,1.0,2.0,11.0,475.0,23.0,433.0,2.0,39.0,2.0,19.0,18.0,2.0,542.0,10.0,123.0,80.0,1.0,30.0,7.0,287.0,31.0,26.0,70.0,163.0,149.0,14.0,1.0,61.0,3906.0
ARKANSAS,Cities,Highland,1056.0,13.0,4.0,8.0,1.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,1.0,10.0,2.0,2.0,2.0,13.0,6.0,6.0,4.0,2.0,12.0,2.0,5.0,3.0,1.0,14.0,1.0,3.0,6.0,3.0,2.0,15.0,15.0,12.0,2.0,1.0,98.0
ARKANSAS,Cities,Hope,10103.0,384.0,72.0,261.0,51.0,2.0,25.0,11.0,1.0,13.0,1.0,1.0,4.0,229.0,58.0,172.0,2.0,28.0,9.0,14.0,4.0,2.0,426.0,7.0,79.0,28.0,1.0,59.0,17.0,232.0,26.0,13.0,3.0,38.0,36.0,2.0,2.0,6.0,2317.0
