State,Agency Type,Agency Name,Population1,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/ Abduction,Sex Offenses,Rape,Sodomy,Fondling,"Sex Offenses, Nonforcible",Statutory Rape,Arson,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism,Embezzle- ment,Fraud Offenses,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imperson- ation,Wire Fraud,Larceny- Theft Offenses,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Porno- graphy/ Obscene Material,Weapon Law Violations,Total Offenses
MASSACHUSETTS,Cities,Nantucket,10232.0,41.0,12.0,28.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,37.0,1.0,134.0,2.0,45.0,20.0,14.0,6.0,4.0,288.0,2.0,3.0,60.0,1.0,34.0,4.0,191.0,10.0,1.0,3.0,26.0,22.0,4.0,2.0,1.0,1000.0
MASSACHUSETTS,Cities,Natick,33646.0,252.0,52.0,149.0,51.0,2.0,9.0,4.0,2.0,5.0,2.0,2.0,2.0,85.0,34.0,249.0,2.0,93.0,39.0,28.0,26.0,2.0,772.0,13.0,91.0,172.0,1.0,208.0,1.0,287.0,27.0,7.0,33.0,26.0,26.0,12.0,2.0,11.0,2756.0
MASSACHUSETTS,Cities,Needham,29342.0,38.0,2.0,27.0,9.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,48.0,2.0,48.0,2.0,77.0,9.0,32.0,34.0,2.0,220.0,2.0,10.0,72.0,1.0,62.0,8.0,67.0,8.0,3.0,7.0,9.0,9.0,12.0,2.0,2.0,809.0
MASSACHUSETTS,Cities,New Bedford,96031.0,3692.0,705.0,1868.0,1119.0,18.0,139.0,56.0,22.0,60.0,7.0,6.0,29.0,945.0,89.0,1676.0,25.0,406.0,240.0,37.0,129.0,2.0,2044.0,19.0,213.0,216.0,4.0,443.0,177.0,956.0,314.0,273.0,80.0,488.0,487.0,1.0,13.0,108.0,17160.0
MASSACHUSETTS,Cities,Newburyport,17708.0,121.0,18.0,76.0,27.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,35.0,14.0,67.0,3.0,47.0,24.0,10.0,13.0,2.0,199.0,3.0,19.0,41.0,1.0,40.0,7.0,89.0,12.0,2.0,9.0,42.0,42.0,12.0,2.0,2.0,975.0
MASSACHUSETTS,Cities,Newton,86710.0,273.0,54.0,153.0,66.0,1.0,11.0,5.0,2.0,6.0,2.0,2.0,2.0,186.0,16.0,244.0,11.0,111.0,64.0,46.0,1.0,2.0,699.0,1.0,65.0,201.0,1.0,235.0,28.0,168.0,18.0,17.0,20.0,28.0,28.0,12.0,2.0,11.0,2772.0
MASSACHUSETTS,Cities,Norfolk,11390.0,10.0,8.0,10.0,11.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,1.0,19.0,1.0,9.0,2.0,3.0,6.0,3.0,4.0,2.0,34.0,2.0,2.0,16.0,1.0,5.0,2.0,9.0,3.0,1.0,3.0,11.0,11.0,12.0,2.0,4.0,150.0
MASSACHUSETTS,Cities,North Adams,13753.0,471.0,86.0,361.0,24.0,2.0,13.0,5.0,5.0,3.0,9.0,9.0,2.0,186.0,17.0,316.0,2.0,57.0,37.0,3.0,17.0,2.0,404.0,6.0,87.0,66.0,1.0,14.0,4.0,244.0,19.0,6.0,25.0,35.0,35.0,12.0,1.0,7.0,2562.0
MASSACHUSETTS,Cities,Northampton,28755.0,517.0,94.0,358.0,65.0,6.0,41.0,9.0,13.0,19.0,2.0,2.0,5.0,138.0,39.0,295.0,4.0,128.0,50.0,16.0,62.0,2.0,713.0,3.0,111.0,290.0,1.0,85.0,33.0,186.0,25.0,16.0,15.0,136.0,136.0,12.0,3.0,14.0,3634.0
MASSACHUSETTS,Cities,North Attleboro,29001.0,57.0,8.0,56.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,26.0,6.0,7.0,13.0,21.0,6.0,21.0,4.0,2.0,407.0,1.0,194.0,3.0,1.0,82.0,4.0,125.0,5.0,3.0,3.0,2.0,2.0,12.0,2.0,4.0,1033.0
